PERMNO,date,COMNAM,RCRDDT,PRC,VOL,RET,BID,ASK,RETX
86580,2019-12-04,NVIDIA CORP,,209.42000,6828092,0.008475,209.39999,209.42000,0.008475
86580,2019-12-05,NVIDIA CORP,,208.74001,4616323,-0.003247,208.73000,208.75000,-0.003247
86580,2019-12-06,NVIDIA CORP,,212.17000,5792270,0.016432,212.12000,212.17999,0.016432
86580,2019-12-09,NVIDIA CORP,,212.17000,5368345,0.000000,212.16000,212.17000,0.000000
86580,2019-12-10,NVIDIA CORP,,213.98000,6405534,0.008531,213.98000,214.00999,0.008531
86580,2019-12-11,NVIDIA CORP,,217.34000,5834677,0.015702,217.32001,217.35001,0.015702
86580,2019-12-12,NVIDIA CORP,,224.07001,10125255,0.030965,224.05000,224.13000,0.030965
86580,2019-12-13,NVIDIA CORP,,223.99001,11344381,-0.000357,223.99001,224.06000,-0.000357
86580,2019-12-16,NVIDIA CORP,,225.14999,8022637,0.005179,225.17000,225.17999,0.005179
86580,2019-12-17,NVIDIA CORP,,228.28999,8068264,0.013946,228.28999,228.31000,0.013946
86580,2019-12-18,NVIDIA CORP,,229.50999,8587348,0.005344,229.42000,229.52000,0.005344
86580,2019-12-19,NVIDIA CORP,,235.46001,11312920,0.025925,235.50000,235.58000,0.025925
86580,2019-12-20,NVIDIA CORP,,239.37000,15053565,0.016606,239.35001,239.39000,0.016606
86580,2019-12-23,NVIDIA CORP,,238.82001,8875856,-0.002298,238.73000,238.82001,-0.002298
86580,2019-12-24,NVIDIA CORP,,238.62000,3462486,-0.000838,238.53999,238.63000,-0.000838
86580,2019-12-26,NVIDIA CORP,,239.19000,4568587,0.002389,239.12000,239.17000,0.002389
86580,2019-12-27,NVIDIA CORP,,236.87000,6352451,-0.009699,236.86000,236.87000,-0.009699
86580,2019-12-30,NVIDIA CORP,,232.32001,6438905,-0.019209,232.30000,232.31000,-0.019209
86580,2019-12-31,NVIDIA CORP,,235.30000,5768810,0.012827,235.35001,235.36000,0.012827
86580,2020-01-02,NVIDIA CORP,,239.91000,5928034,0.019592,239.86000,239.91000,0.019592
86580,2020-01-03,NVIDIA CORP,,236.07001,5132288,-0.016006,236.03999,236.08000,-0.016006
86580,2020-01-06,NVIDIA CORP,,237.06000,6593063,0.004194,237.07001,237.10001,0.004194
86580,2020-01-07,NVIDIA CORP,,239.92999,7965966,0.012107,239.87000,239.94000,0.012107
86580,2020-01-08,NVIDIA CORP,,240.38000,6915288,0.001876,240.48000,240.49001,0.001876
86580,2020-01-09,NVIDIA CORP,,243.02000,6374238,0.010983,243.00000,243.02000,0.010983
86580,2020-01-10,NVIDIA CORP,,244.32001,7899333,0.005349,244.30000,244.33000,0.005349
86580,2020-01-13,NVIDIA CORP,,251.98000,7996272,0.031352,251.98000,251.99001,0.031352
86580,2020-01-14,NVIDIA CORP,,247.28000,8971649,-0.018652,247.28000,247.30000,-0.018652
86580,2020-01-15,NVIDIA CORP,,245.57001,6570793,-0.006915,245.55000,245.58000,-0.006915
86580,2020-01-16,NVIDIA CORP,,248.92999,7097983,0.013682,248.92999,249.00000,0.013682
86580,2020-01-17,NVIDIA CORP,,249.28000,6337505,0.001406,249.25999,249.28000,0.001406
86580,2020-01-21,NVIDIA CORP,,247.94000,5416566,-0.005375,247.96001,247.97000,-0.005375
86580,2020-01-22,NVIDIA CORP,,250.05000,5964532,0.008510,250.05000,250.13000,0.008510
86580,2020-01-23,NVIDIA CORP,,252.86000,6097668,0.011238,252.78999,252.87000,0.011238
86580,2020-01-24,NVIDIA CORP,,250.48000,9305687,-0.009412,250.48000,250.50000,-0.009412
86580,2020-01-27,NVIDIA CORP,,240.20000,11750637,-0.041041,240.14000,240.17999,-0.041041
86580,2020-01-28,NVIDIA CORP,,247.97000,7768712,0.032348,247.97000,248.00000,0.032348
86580,2020-01-29,NVIDIA CORP,,245.53999,6476602,-0.009800,245.53000,245.53999,-0.009800
