PERMNO,date,COMNAM,RCRDDT,PRC,VOL,RET,BID,ASK,RETX,ma20,ma60,signal,lagged_signal,buy_hold_position,strategy_return,buy_hold_return,trade,half_spread_one_way,one_way_total_cost,strategy_return_tc,buy_hold_equity,strategy_equity,strategy_equity_tc
86580,2020-10-26,NVIDIA CORP,,525.65002,8400057,-0.033038,525.65002,525.65997,-0.033038,528.33925175,408.850768,1,1,1,-0.033038,-0.033038,0,9.464472197683408e-06,0.0007094644721976834,-0.033038,3.958332001539365,3.3317550500310205,3.3289175894789604
86580,2020-10-27,NVIDIA CORP,,535.87,6241444,0.019443,535.72998,535.87,0.019443,528.3615022500001,410.785768,1,1,1,0.019443,0.019443,0,0.00013064735850117524,0.0008306473585011753,0.019443,4.035293850645295,3.396534363468774,3.3936417341712004
86580,2020-10-28,NVIDIA CORP,,505.07999,9389253,-0.057458,505.04999,505.32999,-0.057458,527.16750125,412.4380346666667,1,1,1,-0.057458,-0.057458,0,0.0002771838179533004,0.0009771838179533005,-0.057458,3.8034339365749177,3.2013762920125854,3.1986498674091917
86580,2020-10-29,NVIDIA CORP,,520.96002,7980728,0.031441,520.5,520.71997,0.031441,525.845002,414.2262348,1,1,1,0.031441,0.031441,0,0.00021111984754606443,0.0009111198475460644,0.031441,3.9230177029747697,3.3020307640097535,3.2992186178904044
86580,2020-10-30,NVIDIA CORP,,501.35999,10396643,-0.037623,502.0,502.39001,-0.037623,525.3635017500001,415.79803473333334,1,1,1,-0.037623,-0.037623,0,0.0003889520581808073,0.0010889520581808074,-0.037623,3.77542200793575,3.177798460575415,3.175092115829514
86580,2020-11-02,NVIDIA CORP,,503.23001,7469735,0.00373,503.23001,503.37,0.00373,525.32175225,417.39556806666667,1,1,1,0.00373,0.00373,0,0.00013909146634558976,0.0008390914663455898,0.00373,3.7895043320253503,3.1896516488333613,3.186935209421558
86580,2020-11-03,NVIDIA CORP,,520.78003,6813490,0.034875,520.52002,520.78003,0.034875,526.4282532499999,419.2469682,1,1,1,0.034875,0.034875,0,0.00024963514826016435,0.0009496351482601643,0.034875,3.921663295604734,3.300890750086425,3.2980795748501346
86580,2020-11-04,NVIDIA CORP,,551.77002,10236098,0.059507,551.40997,551.78003,0.059507,527.5075035,421.2223016666667,1,1,1,0.059507,0.059507,0,0.0003353389877905714,0.0010353389877905716,0.059507,4.155029713336285,3.4973168559518175,3.4943383961107415
86580,2020-11-05,NVIDIA CORP,,566.40002,7962730,0.026515,566.07001,566.40997,0.026515,529.3557539999999,423.37223513333333,1,1,1,0.026515,0.026515,0,0.0003001059216064462,0.0010001059216064464,0.026515,4.265200326185397,3.59004821238738,3.586990778683618
86580,2020-11-06,NVIDIA CORP,,582.47998,9569669,0.02839,582.33002,582.47998,0.02839,531.75325375,425.46610173333335,1,1,1,0.02839,0.02839,0,0.00012872545422073096,0.000828725454220731,0.02839,4.3862893634458,3.6919696811370573,3.6888254468904456
86580,2020-11-09,NVIDIA CORP,,545.22998,14535801,-0.063951,545.23999,545.40997,-0.063951,532.511753,427.3741016,1,1,1,-0.063951,-0.063951,0,0.0001558791759763555,0.0008558791759763555,-0.063951,4.105781772364078,3.4558645280586613,3.452921370736355
86580,2020-11-10,NVIDIA CORP,,510.79999,16108308,-0.063148,510.54999,510.89001,-0.063148,532.2907524999999,428.9997681333333,1,1,1,-0.063148,-0.063148,0,0.00033283086007895006,0.00103283086007895,-0.063148,3.8465098650028313,3.237633594840813,3.2348762920170957
